origem,destino,tipo,distancia,escalas,caminho_str
EZE,UMU,Gol→Azul,1945.2082472730244,3,EZE → POA → FLN → CWB → UMU
UMU,EZE,Azul→Gol,1945.2082472730247,3,UMU → CWB → FLN → POA → EZE
JTC,EZE,Azul→Gol,1969.493470007405,2,JTC → VCP → POA → EZE
EZE,JTC,Gol→Azul,1969.493470007405,2,EZE → POA → VCP → JTC
AQA,ROS,Azul→Gol,1976.1857126663706,2,AQA → VCP → CGH → ROS
ROS,AQA,Gol→Azul,1976.1857126663706,2,ROS → CGH → VCP → AQA
FRC,AEP,Azul→Gol,1997.8139595934,2,FRC → VCP → POA → AEP
AEP,FRC,Gol→Azul,1997.8139595934,2,AEP → POA → VCP → FRC
MII,AEP,Azul→Gol,2023.4676742936444,2,MII → VCP → POA → AEP
AEP,MII,Gol→Azul,2023.4676742936444,2,AEP → POA → VCP → MII
FRC,EZE,Azul→Gol,2024.284282982224,2,FRC → VCP → POA → EZE
EZE,FRC,Gol→Azul,2024.284282982224,2,EZE → POA → VCP → FRC
JTC,ROS,Azul→Gol,2029.0132171897021,2,JTC → VCP → CGH → ROS
ROS,JTC,Gol→Azul,2029.0132171897021,2,ROS → CGH → VCP → JTC
UMU,ROS,Azul→Gol,2037.9336379414099,3,UMU → CWB → FLN → POA → ROS
ROS,UMU,Gol→Azul,2037.9336379414099,3,ROS → POA → FLN → CWB → UMU
MII,EZE,Azul→Gol,2049.9379976824684,2,MII → VCP → POA → EZE
EZE,MII,Gol→Azul,2049.9379976824684,2,EZE → POA → VCP → MII
FRC,ROS,Azul→Gol,2083.8040301645215,2,FRC → VCP → CGH → ROS
ROS,FRC,Gol→Azul,2083.8040301645215,2,ROS → CGH → VCP → FRC
AQA,VVI,Azul→Gol,2097.637524456706,2,AQA → VCP → GRU → VVI
VVI,AQA,Gol→Azul,2097.637524456706,2,VVI → GRU → VCP → AQA
MII,ROS,Azul→Gol,2109.4577448647656,2,MII → VCP → CGH → ROS
ROS,MII,Gol→Azul,2109.4577448647656,2,ROS → CGH → VCP → MII
JTC,VVI,Azul→Gol,2150.4650289800375,2,JTC → VCP → GRU → VVI
VVI,JTC,Gol→Azul,2150.4650289800375,2,VVI → GRU → VCP → JTC
COR,AQA,Gol→Azul,2179.719689693493,2,COR → CGH → VCP → AQA
AQA,COR,Azul→Gol,2179.7196896934934,2,AQA → VCP → CGH → COR
FRC,VVI,Azul→Gol,2205.255841954857,2,FRC → VCP → GRU → VVI
VVI,FRC,Gol→Azul,2205.255841954857,2,VVI → GRU → VCP → FRC
MII,VVI,Azul→Gol,2230.909556655101,2,MII → VCP → GRU → VVI
VVI,MII,Gol→Azul,2230.909556655101,2,VVI → GRU → VCP → MII
JTC,COR,Azul→Gol,2232.5471942168247,2,JTC → VCP → CGH → COR
COR,JTC,Gol→Azul,2232.5471942168247,2,COR → CGH → VCP → JTC
FRC,COR,Azul→Gol,2287.338007191644,2,FRC → VCP → CGH → COR
COR,FRC,Gol→Azul,2287.338007191644,2,COR → CGH → VCP → FRC
DIQ,AEP,Azul→Gol,2301.5121648211198,2,DIQ → CNF → CGH → AEP
AEP,DIQ,Gol→Azul,2301.5121648211198,2,AEP → CGH → CNF → DIQ
MII,COR,Azul→Gol,2312.991721891888,2,MII → VCP → CGH → COR
COR,MII,Gol→Azul,2312.991721891888,2,COR → CGH → VCP → MII
UMU,COR,Azul→Gol,2325.438225936214,3,UMU → CWB → FLN → POA → COR
COR,UMU,Gol→Azul,2325.438225936214,3,COR → POA → FLN → CWB → UMU
DIQ,EZE,Azul→Gol,2330.2236162516183,2,DIQ → CNF → CGH → EZE
EZE,DIQ,Gol→Azul,2330.2236162516183,2,EZE → CGH → CNF → DIQ
IPN,AEP,Azul→Gol,2340.342166471486,2,IPN → CNF → CGH → AEP
AEP,IPN,Gol→Azul,2340.342166471486,2,AEP → CGH → CNF → IPN
DIQ,ROS,Azul→Gol,2360.5769308149347,2,DIQ → CNF → GRU → ROS
ROS,DIQ,Gol→Azul,2360.5769308149347,2,ROS → GRU → CNF → DIQ
IPN,EZE,Azul→Gol,2369.053617901984,2,IPN → CNF → CGH → EZE
EZE,IPN,Gol→Azul,2369.0536179019846,2,EZE → CGH → CNF → IPN
IPN,ROS,Azul→Gol,2399.4069324653005,2,IPN → CNF → GRU → ROS
ROS,IPN,Gol→Azul,2399.406932465301,2,ROS → GRU → CNF → IPN
DIQ,VVI,Azul→Gol,2456.557289821728,2,DIQ → CNF → GRU → VVI
VVI,DIQ,Gol→Azul,2456.557289821728,2,VVI → GRU → CNF → DIQ
POJ,AEP,Azul→Gol,2475.0330487571027,2,POJ → CNF → CGH → AEP
AEP,POJ,Gol→Azul,2475.0330487571027,2,AEP → CGH → CNF → POJ
IPN,VVI,Azul→Gol,2495.387291472094,2,IPN → CNF → GRU → VVI
VVI,IPN,Gol→Azul,2495.387291472094,2,VVI → GRU → CNF → IPN
POJ,EZE,Azul→Gol,2503.7445001876013,2,POJ → CNF → CGH → EZE
EZE,POJ,Gol→Azul,2503.7445001876013,2,EZE → CGH → CNF → POJ
POJ,ROS,Azul→Gol,2534.0978147509177,2,POJ → CNF → GRU → ROS
ROS,POJ,Gol→Azul,2534.0978147509177,2,ROS → GRU → CNF → POJ
DIQ,COR,Azul→Gol,2562.9680036254467,2,DIQ → CNF → GRU → COR
COR,DIQ,Gol→Azul,2562.9680036254467,2,COR → GRU → CNF → DIQ
IPN,COR,Azul→Gol,2601.7980052758126,2,IPN → CNF → GRU → COR
COR,IPN,Gol→Azul,2601.798005275813,2,COR → GRU → CNF → IPN
POJ,VVI,Azul→Gol,2630.078173757711,2,POJ → CNF → GRU → VVI
VVI,POJ,Gol→Azul,2630.078173757711,2,VVI → GRU → CNF → POJ
VVI,UMU,Gol→Azul,2667.069386183597,3,VVI → GRU → CGH → CWB → UMU
UMU,VVI,Azul→Gol,2667.0693861835975,3,UMU → CWB → CGH → GRU → VVI
POJ,COR,Azul→Gol,2736.4888875614297,2,POJ → CNF → GRU → COR
